id,detected_at,status,severity,area,feature,summary,steps_to_reproduce,expected_result,actual_result,console_errors,url,app_state,notes
BUG-0031,2026-05-26T17:02:00+02:00,fixed,medium,release-qa,qa-manifest-smoke,QA manifest smoke command and exposure rules had no isolated fixture coverage and could be bypassed by inherited self-test/root flags,"1. Change extractQaScriptTargets command-chain detection or unexposed-file detection in scripts/qa/qa-manifest-smoke.mjs 2. Run npm run qa:reliability-smoke:release 3. The gate checks the current package but does not prove missing aliases missing targets chained commands or two-target commands fail 4. Export CHATON_QA_MANIFEST_SMOKE_SELF_TEST=fixtures or CHATON_QA_MANIFEST_SMOKE_FIXTURE_ROOT=/tmp/bad before a release gate and the manifest step could validate a fixture or wrong root unless cleared",QA manifest validation should have deterministic fixture coverage for valid aliases and negative manifest drift while release orchestrators keep the real manifest contract pointed at the repo root,"Added CHATON_QA_MANIFEST_SMOKE_SELF_TEST=fixtures with isolated valid unexposed missing-target chained-command and two-target cases. Added a package alias, integrated it into reliability-smoke before the real manifest contract, and cleared/asserted manifest self-test/root controls in reliability and prod-ready env isolation.",none,n/a,"npm run qa:manifest-smoke:self-test:fixtures; polluted env with npm run qa:reliability-smoke:self-test:env and npm run qa:prod-ready-smoke:self-test:env; npm run qa:manifest-smoke",Keep QA manifest fixture coverage in reliability-smoke before the real package manifest contract so package-script drift and validator regressions are both checked.
BUG-0032,2026-05-26T17:20:00+02:00,fixed,medium,release-qa,mac-release-smoke,Mac release smoke inherited CHATON_ELECTRON_SMOKE_CLOSE_TIMEOUT_MS from the parent shell,"1. Export CHATON_ELECTRON_SMOKE_CLOSE_TIMEOUT_MS=1 2. Run npm run qa:release-smoke:mac:full or inspect dry-run output 3. The delegated Electron smoke close timeout can become unrealistically short and make release smokes flaky or fail during app cleanup",Mac release smoke should own its Electron child close timeout and keep it stable regardless of parent-shell Electron smoke settings,"mac-release-smoke now clears inherited close timeout controls and injects CHATON_ELECTRON_SMOKE_CLOSE_TIMEOUT_MS=3000 after cleanup. Reliability and prod-ready env-isolation also clear/assert the close timeout so higher-level gates cannot leak it into child scenarios.",none,n/a,"CHATON_ELECTRON_SMOKE_CLOSE_TIMEOUT_MS=1 npm run qa:release-smoke:mac:self-test:env; same env with npm run qa:release-smoke:mac:full:dry-run; same env with npm run qa:reliability-smoke:self-test:env and npm run qa:prod-ready-smoke:self-test:env",Keep release smoke timeouts scenario-owned; do not inherit low-level Electron timing knobs from the caller shell.
BUG-0033,2026-05-26T17:38:00+02:00,fixed,medium,release-qa,env-isolation,Release QA could inherit internal Electron automation and extension-fixture environment variables,"1. Export CHATON_ALLOW_AUTOMATION_INSTANCE=1 CHATON_DISABLE_DEVTOOLS=0 CHATON_SMOKE_EXTENSION_PORT=9 CHATON_SMOKE_IGNORE_SIGTERM=1 CHATON_USER_DATA_DIR=/tmp/bad-user-data 2. Run DMG mac release reliability or prod-ready smokes 3. Internal Electron automation or extension fixture controls can leak into child processes even though release scenarios should own their own runtime/userData/fixture state",Release QA orchestrators should clear internal Electron automation flags and fixture controls unless a specific self-test intentionally sets them,"Added CHATON_ALLOW_AUTOMATION_INSTANCE CHATON_DISABLE_DEVTOOLS CHATON_SMOKE_EXTENSION_PORT CHATON_SMOKE_IGNORE_SIGTERM and CHATON_USER_DATA_DIR to DMG mac-release reliability and prod-ready cleanup/summaries/assertions. DMG and higher-level env self-tests now prove polluted parent shells cannot pass those controls through.",none,n/a,"polluted env with npm run qa:dmg-smoke:self-test:env; npm run qa:release-smoke:mac:self-test:env; npm run qa:reliability-smoke:self-test:env; npm run qa:prod-ready-smoke:self-test:env","Keep internal automation and fixture-only environment variables local to electron-smoke self-tests, not inherited by release gates."
BUG-0034,2026-05-26T18:02:00+02:00,fixed,medium,release-qa,dmg-smoke,DMG installed-copy smoke leaked its temporary install root when ditto failed,"1. Run the DMG smoke with CHATON_DMG_SMOKE_INSTALL_COPY=1 2. Make ditto fail after the script creates the chaton-dmg-install-* temporary root 3. The copy helper throws before returning installRoot to the outer finally block, so the partial install directory can remain in /tmp",Failed installed-copy attempts should remove their temporary install root before propagating the copy error,"copyInstalledApp now removes its install root on copy failure before rethrowing. Added CHATON_DMG_SMOKE_SELF_TEST=install-copy-cleanup with a simulated ditto failure that creates a partial copy and asserts the temp root is removed; reliability-smoke runs that self-test continuously.",none,n/a,"npm run qa:dmg-smoke:self-test:install-copy-cleanup; npm run qa:reliability-smoke:self-test:env; npm run qa:reliability-smoke:release",Keep cleanup ownership inside helpers that allocate temp roots when the outer orchestration cannot observe those roots until the helper returns.
BUG-0035,2026-05-26T18:24:00+02:00,fixed,medium,release-qa,prod-ready-smoke,Prod-ready typecheck resolved TypeScript through npx and PATH,"1. Put a different npx or TypeScript version earlier on PATH 2. Run npm run qa:prod-ready-smoke:release:build 3. The typecheck step can resolve through npx instead of the repository TypeScript compiler used by the checked-in dependency graph",Prod-ready typecheck should use the current Node executable with the workspace-local TypeScript compiler,"prod-ready-smoke now runs typecheck as process.execPath node_modules/typescript/bin/tsc -b --pretty false. The build-steps self-test asserts the typecheck command uses the current Node executable and the local TypeScript compiler path inside the repository.",none,n/a,"npm run qa:prod-ready-smoke:self-test:build; npm run qa:prod-ready-smoke:release:build:dry-run; npm run qa:manifest-smoke; npm run qa:bug-log-smoke",Keep release gates pinned to checked-in local toolchain binaries when a direct Node entrypoint exists.
BUG-0036,2026-05-26T18:46:00+02:00,fixed,medium,release-qa,hygiene-smoke,QA hygiene smoke missed temporary roots created by newer QA self-tests,"1. Crash or interrupt a QA self-test after it creates chaton-build-output-self-test-* chaton-qa-manifest-* chaton-release-metadata-self-test-* or other newer temporary roots 2. Run npm run qa:hygiene-smoke 3. The final hygiene gate can pass because it only checked chaton-dmg-install-* and chaton-electron-smoke-* directories",The final hygiene gate should flag every Chatons QA temporary root prefix that a smoke or self-test can leave behind,"hygiene-smoke now uses a centralized tempLeakPrefixes list covering build-output DMG install-copy cleanup Electron smoke hygiene manifest release-metadata screenshot and sqlite self-test roots. The fixture self-test creates one directory for every prefix and asserts all are detected while files and unrelated directories are ignored.",none,n/a,"npm run qa:hygiene-smoke:self-test:fixtures; npm run qa:hygiene-smoke; npm run qa:reliability-smoke:release; npm run qa:bug-log-smoke",Keep any new QA mkdtemp prefix in hygiene-smoke tempLeakPrefixes so final hygiene checks remain complete.
BUG-0037,2026-05-26T19:08:00+02:00,fixed,medium,release-qa,hygiene-smoke,QA hygiene temp-prefix coverage could drift when new self-tests add mkdtemp roots,"1. Add a new scripts/qa self-test that creates fs.mkdtempSync(path.join(os.tmpdir(), 'chaton-new-smoke-')) 2. Forget to update hygiene-smoke tempLeakPrefixes 3. npm run qa:hygiene-smoke:self-test:fixtures can still pass if it only tests the hardcoded list",The hygiene fixture self-test should fail when any QA script creates a Chatons temp-root prefix that is not included in tempLeakPrefixes,"hygiene-smoke now statically scans scripts/qa/*.mjs for mkdtempSync(path.join(os.tmpdir(), ...)) prefixes starting with chaton and asserts every discovered static prefix is covered by tempLeakPrefixes. The fixture output reports the discovered prefix count.",none,n/a,"npm run qa:hygiene-smoke:self-test:fixtures; npm run qa:hygiene-smoke; npm run qa:bug-log-smoke; npm run qa:reliability-smoke:release",Keep the anti-drift scanner aligned with simple static mkdtemp patterns used by QA smoke scripts.
BUG-0038,2026-05-26T19:31:00+02:00,fixed,medium,release-qa,build-output-smoke,Build output smoke hardcoded built-in React extension views instead of reading manifests,"1. Add or rename a built-in extension mainView in chaton.extension.json 2. Point webviewUrl at a new dist HTML file 3. Run npm run qa:build-output-smoke 4. The gate can keep checking only the old hardcoded automation ide-launcher memory and tps-monitor list",Build output validation should inspect the built-in extension mainView HTML files declared by packaged manifests rather than a hardcoded extension list,"build-output-smoke now scans dist-electron/extensions/builtin/*/chaton.extension.json, extracts chaton-extension:// webviewUrl paths from ui.mainViews, and validates the referenced HTML asset graph. The fixture self-test writes four manifest-driven views plus a tool-only extension and asserts only manifest-declared views are checked.",none,n/a,"npm run qa:build-output-smoke:self-test:fixtures; npm run qa:build-output-smoke; npm run qa:manifest-smoke; npm run qa:bug-log-smoke",Keep artifact smokes manifest-driven so packaged UI contracts are checked where the runtime will actually load them.
BUG-0039,2026-05-26T19:48:00+02:00,fixed,medium,release-qa,build-output-smoke,Build output smoke silently ignored invalid built-in extension mainView webviewUrl values,"1. Add a built-in extension ui.mainViews entry with webviewUrl=https://example.com/view.html or chaton-extension://@chaton/other/dist/react-index.html 2. Run npm run qa:build-output-smoke 3. The manifest scanner can skip that view instead of failing even though runtime getExtensionMainViewHtml would reject or fail to load it",Build output validation should fail on unsupported schemes wrong extension-id prefixes and empty view paths for packaged built-in mainViews,"extensionPathFromWebviewUrl now throws on unsupported webviewUrl schemes wrong extension-id prefixes and missing HTML paths. The fixture self-test covers external URL wrong-extension-id and missing-path manifests to prove invalid views fail the artifact gate.",none,n/a,"npm run qa:build-output-smoke:self-test:fixtures; npm run qa:build-output-smoke; npm run qa:bug-log-smoke; npm run qa:reliability-smoke:release",Keep manifest parsing behavior aligned with runtime getExtensionMainViewHtml so invalid packaged views cannot be skipped by artifact QA.
BUG-0040,2026-05-26T20:10:00+02:00,fixed,high,extensions-runtime,path-safety,Extension runtime path confinement accepted sibling paths sharing the root prefix,"1. Resolve an extension view or icon path with root=/tmp/chaton-extension and candidate=/tmp/chaton-extension-malicious/index.html 2. The old candidate.startsWith(path.resolve(root)) check treats the sibling as inside the extension root 3. A crafted relative path can escape the intended extension root when the sibling path shares the same string prefix",Extension runtime file resolution should accept only the root itself or descendants according to path.relative not raw string prefixes,"Added isPathInsideRoot using path.relative and path.isAbsolute. getExtensionMainViewHtml and resolveIconFilePath now use it instead of startsWith. Added unit coverage for root nested sibling-prefix and parent-traversal cases.",none,n/a,"npx vitest run electron/extensions/runtime/path-safety.test.ts electron/extensions/runtime/html.test.ts; npm run qa:bug-log-smoke",Use path-relative containment checks for extension-served files rather than raw string prefix checks.
BUG-0041,2026-05-26T20:33:00+02:00,fixed,high,extensions-runtime,path-safety,Extension protocol server cwd and marketplace icon writes still used raw root-prefix checks,"1. Keep an extension root at /tmp/chaton-extension 2. Request chaton-extension assets or configure server.cwd or marketplace icon saveName so path.resolve points at /tmp/chaton-extension-malicious 3. The remaining startsWith(path.resolve(root)) guards in the protocol handler server cwd normalization and marketplace icon download path can treat the sibling as confined",Every extension file-serving write and process cwd path should share the path.relative-based root containment helper,"Updated the chaton-extension protocol handler extension server cwd normalization and marketplace icon download target validation to use isPathInsideRoot. Added server coverage proving a sibling-prefix cwd falls back to the real extension root instead of spawning from the sibling path.",none,n/a,"npx vitest run electron/extensions/runtime/path-safety.test.ts electron/extensions/runtime/html.test.ts electron/extensions/runtime/server.test.ts; npm run qa:bug-log-smoke",Search for raw startsWith(path.resolve(...)) path confinement checks whenever extension filesystem surfaces change.
BUG-0042,2026-05-26T20:57:00+02:00,fixed,high,extensions-runtime,extension-protocol,Extension asset URLs and manifests accepted unchecked extension ids before resolving filesystem roots,"1. Provide a malformed extension id containing traversal segments through a chaton-extension URL or manifest 2. The runtime computes extension root candidates from the raw id before any structural validation 3. Even with candidate path confinement, invalid ids can produce unsafe or confusing root candidates outside the intended extension namespace",Extension ids used for filesystem roots should be normalized before root candidate construction and protocol URLs should support only valid unscoped or scoped package ids,"Added normalizeExtensionId and parseExtensionAssetUrl. Manifest normalization root candidate construction and the chaton-extension protocol now reject malformed ids; the parser supports both existing raw scoped URLs and encoded scoped URLs. Added unit coverage for valid scoped ids raw and encoded URLs missing paths and traversal ids.",none,n/a,"npx vitest run electron/extensions/runtime/extension-id.test.ts electron/extensions/runtime/extension-url.test.ts electron/extensions/runtime/path-safety.test.ts electron/extensions/runtime/html.test.ts electron/extensions/runtime/server.test.ts; npm run qa:bug-log-smoke",Validate extension ids before any path.join or path.resolve call that treats an id as part of a filesystem root.
BUG-0043,2026-05-26T21:22:00+02:00,fixed,high,extensions-runtime,storage-files,Extension storage files and server registration used extension ids before runtime-level normalization,"1. Call the storage.files runtime or registerExtensionServer bridge with extensionId=../outside 2. The IPC layer rejects empty ids but the runtime functions themselves still accepted non-empty malformed ids 3. File storage and extension server data paths could be derived from traversal-like ids if called directly or through a future IPC path that missed stricter validation",Runtime filesystem and server surfaces should reject malformed extension ids before capability checks and before path.join of FILES_ROOT or server state keys,"storageFilesRead and storageFilesWrite now require normalizeExtensionId before checking capabilities or creating data directories. registerExtensionServer also normalizes the id before mutating runtimeState. Added runtime tests proving traversal ids are rejected without creating data directories or server manifests.",none,n/a,"npx vitest run electron/extensions/runtime/storage.test.ts electron/extensions/runtime/server.test.ts electron/extensions/runtime/extension-id.test.ts electron/extensions/runtime/extension-url.test.ts electron/extensions/runtime/path-safety.test.ts electron/extensions/runtime/html.test.ts; node node_modules/typescript/bin/tsc -b --pretty false",Keep runtime-level validation even when IPC handlers already do basic type and empty-string validation.
BUG-0044,2026-05-26T21:41:00+02:00,fixed,medium,extensions-runtime,logging,Extension log file safe ids could be empty or collide after sanitization,"1. Ask for logs or append runtime logs with extensionId=!!! 2. extensionLogFileSafeId strips every character and returns an empty basename 3. Logs can be written to .runtime.log or .log and different ids like @scope/name and @scope_name can collapse to the same basename",Extension log basenames should always be non-empty and stable while avoiding collisions between different original ids,"extensionLogFileSafeId now keeps a readable sanitized prefix when possible and appends a 10 character sha256 digest of the original id. The manager now imports the runtime helper instead of carrying a divergent copy. Added tests for stable readable names punctuation-only ids and sanitized-name collision avoidance.",none,n/a,"npx vitest run electron/extensions/runtime/logging.test.ts electron/extensions/runtime/server.test.ts electron/extensions/runtime/storage.test.ts electron/extensions/runtime/extension-id.test.ts electron/extensions/runtime/extension-url.test.ts electron/extensions/runtime/path-safety.test.ts electron/extensions/runtime/html.test.ts; node node_modules/typescript/bin/tsc -b --pretty false",Use one shared log basename helper for runtime and manager log paths; never allow empty per-extension log basenames.
BUG-0045,2026-05-26T22:03:00+02:00,fixed,medium,extensions-runtime,logging,Manager log reads and cleanup missed runtime logs written by appendExtensionLog,"1. Trigger appendExtensionLog for an extension 2. The runtime writes LOGS_DIR/<safe-id>.runtime.log 3. Open extension logs or uninstall the extension 4. getChatonsExtensionLogs and removeChatonsExtension only look at <safe-id>.log and <safe-id>.install.log so current runtime logs are invisible and stale after uninstall",Extension log reads should include the actual .runtime.log file and uninstall cleanup should remove both current runtime logs and legacy .log files,"Added shared extensionLogPaths in the manager with runtime legacyRuntime and install paths. getChatonsExtensionLogs now reads .runtime.log then legacy .log then .install.log; removeChatonsExtension removes all three. The manager now imports shared runtime constants for CHATON_BASE EXTENSIONS_DIR and LOGS_DIR, and a direct test proves logs written by appendExtensionLog are readable through getChatonsExtensionLogs.",none,n/a,"npx vitest run electron/extensions/manager-logs.test.ts electron/extensions/runtime/logging.test.ts electron/extensions/runtime/server.test.ts electron/extensions/runtime/storage.test.ts electron/extensions/runtime/extension-id.test.ts electron/extensions/runtime/extension-url.test.ts electron/extensions/runtime/path-safety.test.ts electron/extensions/runtime/html.test.ts; node node_modules/typescript/bin/tsc -b --pretty false",Keep manager log read cleanup paths aligned with appendExtensionLog output and retain legacy .log reads for compatibility.
BUG-0046,2026-05-26T22:17:00+02:00,fixed,high,extensions-manager,id-validation,Extension manager operations accepted malformed ids before filesystem and registry work,"1. Call manager functions such as installChatonsExtension removeChatonsExtension updateChatonsExtension publishChatonsExtension or getChatonsExtensionLogs with extensionId=../outside 2. IPC handlers only check type and non-empty strings before delegating 3. The manager builds extension directories and log state from the raw id so future callers or missed IPC guards can reach paths outside the intended extension namespace",Manager public entry points should normalize extension ids before any path joins registry mutation install state lookup process tracking or log lookup,"Added normalizeManagerExtensionId and getManagedExtensionDir in the manager. Install state cancel toggle install remove logs update and publish now reject malformed ids before touching disk or registry state; managed extension directories are also checked with isPathInsideRoot. Added direct manager tests proving traversal ids are rejected without creating registry files extension directories or deleting outside sentinels.",none,n/a,"npx vitest run electron/extensions/manager-id-validation.test.ts electron/extensions/manager-logs.test.ts electron/extensions/runtime/extension-id.test.ts electron/extensions/runtime/path-safety.test.ts",Keep manager-level validation even when IPC handlers already perform basic string checks; public manager functions are part of the trusted boundary.
BUG-0047,2026-05-26T22:32:00+02:00,fixed,high,extensions-runtime,queue-events,Extension queue and event runtime accepted malformed ids topics and queue controls before DB calls,"1. Call queueEnqueue or publishExtensionEvent with extensionId=../outside or topic containing spaces/control-like separators 2. Call queueConsume with a consumer id containing spaces or queueAck with a malformed message id 3. The runtime previously reached capability checks or DB repo functions with unnormalized values and could create confusing global queue state or unbounded retry/idempotency metadata",Queue and event runtime functions should normalize extension ids and reject malformed topics consumer ids message ids idempotency keys and dates before capability tracking or database access,"Added queue runtime normalization for extensionId topic consumerId messageId idempotencyKey availableAt retryAt and error message length. The runtime now trims valid values canonicalizes ISO dates and rejects malformed input before touching DB repos or capability usage. Added direct queue tests with mocked DB repos proving invalid values do not call getDb or queue repo functions while valid enqueue consume ack flows still work.",none,n/a,"npx vitest run electron/extensions/runtime/queue.test.ts electron/extensions/runtime/extension-id.test.ts",Keep validation at the runtime boundary; IPC string checks are not sufficient for extension host APIs or future direct callers.
BUG-0048,2026-05-26T22:47:00+02:00,fixed,high,extensions-runtime,host-api-boundary,Extension subscriptions host calls and inter-extension calls trusted trimmed IPC strings at the runtime boundary,"1. Call subscribeExtension hostCall or extensionsCall directly or through a future IPC path with extensionId=../outside topic='bad topic' method='bad method' apiName='bad api' or malformed context ids 2. The runtime previously delegated to capability checks host handlers or sandbox handler lookup using raw values 3. Invalid identifiers could create confusing subscriptions or reach privileged host call dispatch before a consistent runtime validation layer",Extension runtime boundaries should normalize extension ids and reject malformed topics methods API names version ranges and context ids before state mutation or handler dispatch,"Added runtime/validation.ts with shared extension id topic API name version range and context id normalization. subscribeExtension now stores normalized IDs topics and scoped options or rejects before capability tracking. hostCall validates extensionId and method before delegating to host handlers. extensionsCall validates caller target API version and context before builtin or sandbox dispatch while preserving the chatons-llm internal caller. Added runtime boundary tests proving invalid inputs do not create subscriptions or invoke host/sandbox handlers.",none,n/a,"npx vitest run electron/extensions/runtime-validation.test.ts electron/extensions/runtime/queue.test.ts electron/extensions/runtime/extension-id.test.ts",Keep validation in runtime.ts itself because host APIs can be reached from sandbox proxies tooling and future callers beyond today IPC handlers.
BUG-0049,2026-05-26T23:02:00+02:00,fixed,high,extensions-runtime,host-call-capabilities,Channel host calls could ingest messages or read status without enforcing host.conversations.write,"1. Register an extension manifest without host.conversations.write 2. Call hostCall(extensionId,'channels.ingestMessage',{conversationId:'conversation-1',message:'hello'}) while the channel bridge exists 3. The handler tracks host.conversations.write but did not check hasCapability first, so it can reach the bridge. channels.getStatus also returned channel status without a capability check.",Channel host methods that write or expose channel conversation state should require host.conversations.write before tracking usage or calling bridges,"channels.ingestMessage now checks host.conversations.write before tracking usage or invoking the channel bridge. channels.getStatus now requires the same capability before returning status. Conversation/project ids and idempotency keys for host calls are normalized with the shared runtime validation helpers. Added createHostCall tests proving unauthorized extensions cannot ingest messages or read channel status and malformed ids do not reach bridges or DB access.",none,n/a,"npx vitest run electron/extensions/runtime/host.test.ts electron/extensions/runtime-validation.test.ts electron/extensions/runtime/queue.test.ts electron/extensions/runtime/extension-id.test.ts",Audit host call handlers for both capability checks and input normalization; tracking a capability is not authorization.
BUG-0050,2026-05-26T23:16:00+02:00,fixed,high,extensions-runtime,main-view-host-call,open.mainView host call could open undeclared or cross-extension main views,"1. Register extension A without ui.mainView or with only viewId=a.main 2. Call hostCall('@extension/a','open.mainView',{viewId:'other.main'}) where other.main belongs to extension B or is undeclared 3. The handler previously sent extensions:openMainView directly to renderer without checking ui.mainView capability or manifest ownership",An extension should only request opening main views it declares and only when it has ui.mainView capability,"open.mainView now requires ui.mainView, normalizes viewId, verifies the calling extension manifest declares that exact view, and only then sends extensions:openMainView. Added createHostCall tests proving missing capability and cross-extension view IDs are rejected without renderer sends while valid declared views are trimmed and opened.",none,n/a,"npx vitest run electron/extensions/runtime/host.test.ts electron/extensions/runtime-validation.test.ts electron/extensions/runtime/extension-id.test.ts",Treat renderer navigation host calls as privileged; validate capability and manifest ownership before broadcasting UI events.
BUG-0051,2026-05-26T23:31:00+02:00,fixed,high,extensions-runtime,notifications,Extension notification links accepted unsafe URL schemes and arbitrary deeplink types,"1. Give an extension host.notifications 2. Call hostCall(extensionId,'notifications.notify',{title:'x',link:{type:'url',href:'javascript:alert(1)'}}) or a file/data URL 3. The host forwarded the link to the renderer and NotificationUrlViewer accepted any URL constructor result for iframe src. Arbitrary deeplink types were also forwarded to the generic deeplink dispatcher.",Notification host calls should only forward safe http/https URLs or known bounded Chatons deeplinks and the renderer URL viewer should reject non-web schemes defensively,"notifications.notify now trims and bounds title body and labels, only forwards http/https URL links, and only forwards known deeplink families conversation project settings workspace and automation-suggestion with bounded safe targets. NotificationUrlViewer now renders iframes only for http/https URLs. Added host tests for rejected javascript URLs unknown deeplinks and valid normalized links plus renderer tests for non-web URL rejection.",none,n/a,"npx vitest run electron/extensions/runtime/host.test.ts src/features/notifications/NotificationUrlViewer.test.tsx",Treat extension notification links as untrusted input on both main-process host dispatch and renderer display.
BUG-0052,2026-05-26T23:48:00+02:00,fixed,high,extensions-runtime,storage-kv,Extension KV storage accepted raw ids keys and unbounded values before SQLite writes,"1. Give an extension storage.kv 2. Call storageKvSet with extensionId=../outside or a whitespace/control-character key or a circular/very large value 3. The runtime previously checked capability and reached SQLite repo calls with raw extension ids keys and JSON.stringify(value) in the repo, allowing confusing namespaces, DB errors, or oversized writes",Extension KV storage should normalize extension ids and reject invalid keys or unsafe values before capability tracking or database access,"storageKvGet Set Delete and List now normalize extension ids before authorization, trim and bound keys to 200 characters without control characters, and reject non JSON-serializable or over 256 KiB values before DB access. Added runtime storage tests with mocked repos proving invalid inputs do not call getDb or track capabilities and valid calls use normalized extension ids and keys. Documented the KV limits in the extension API reference.",none,n/a,"npx vitest run electron/extensions/runtime/storage.test.ts",Keep storage validation at the runtime boundary; IPC type checks and SQLite repo serialization are not sufficient protection for extension host APIs.
BUG-0053,2026-05-26T23:59:00+02:00,fixed,high,extensions-runtime,events-queue,Extension events and queue payloads were serialized only inside SQLite repo writes,"1. Give an extension events.publish or queue.publish 2. Call publishExtensionEvent queueEnqueue or publishExtensionAutomationEvent with a circular payload or very large string 3. The runtime reached capability tracking and SQLite repo code where JSON.stringify(payload) could throw or write oversized payload_json rows. Automation event names were also authorized before validation.",Events and queue APIs should reject unsafe payloads and invalid automation event names before capability tracking or database access,"publishExtensionEvent publishExtensionAutomationEvent and queueEnqueue now require JSON-serializable payloads under 256 KiB before DB access. Automation event names are trimmed and validated before capability tracking. Added queue runtime tests proving circular and oversized payloads plus invalid event names do not call getDb enqueue repos or track capabilities while valid automation events enqueue normalized topics. Documented event and queue payload limits.",none,n/a,"npx vitest run electron/extensions/runtime/queue.test.ts",Persistent extension queue/event payloads need runtime validation before SQLite serialization so extension code cannot destabilize the process with unserializable or oversized data.
BUG-0054,2026-05-27T00:12:00+02:00,fixed,high,extensions-runtime,storage-files,Extension file storage accepted untyped or oversized content and followed symlinked data paths,"1. Give an extension storage.files 2. Call storageFilesWrite directly with a non-string value or a multi-megabyte string 3. Or create a symlink inside the extension data directory and read/write through it 4. The runtime previously tracked capability and wrote content directly with fs.writeFileSync or read files without a size/symlink guard","Extension file storage should require string content, bound reads and writes, and reject symlink escapes before touching file contents","storageFilesWrite now requires string content under 5 MiB before authorization side effects and validates target directories segment by segment without following symlinks. storageFilesRead rejects oversized files and symlinked ancestors before reading into memory. Added runtime storage tests for non-string content oversized write oversized read and symlink read/write escape attempts. Documented file storage limits and symlink rejection.",none,n/a,"npx vitest run electron/extensions/runtime/storage.test.ts",File APIs need runtime-level type size and symlink checks; IPC type hints and relative path normalization alone do not protect direct runtime callers or existing data roots.
BUG-0055,2026-05-27T00:23:00+02:00,fixed,medium,extensions-ipc,storage-files,Storage files write IPC coerced null or undefined content to an empty string,"1. Call extensions:storage:files:write with extensionId and relativePath valid but content=null or content undefined 2. The IPC handler converted content ?? '' and delegated to storageFilesWrite 3. This bypassed the runtime's content must be a string contract and made invalid caller input look like an intentional empty write",IPC and runtime storage file contracts should agree that content must be a string and reject missing or non-string content before delegation,"extensions:storage:files:write now returns bad_request when content is not a string and delegates the original string unchanged. Updated the IPC handler test to reject null undefined and object content instead of documenting default-to-empty behavior while preserving valid string writes.",none,n/a,"npx vitest run electron/ipc/workspace-handlers-extensions-storage-files-write.test.ts electron/extensions/runtime/storage.test.ts",Keep IPC handlers from normalizing invalid extension API inputs into valid runtime calls; boundary behavior should be explicit and aligned.
BUG-0056,2026-05-27T00:35:00+02:00,fixed,high,extensions-runtime,queue-options,Extension queue option normalizers could throw or silently ignore malformed meta opts retry fields,"1. Call publishExtensionEvent with meta as a string or meta.idempotencyKey as an object 2. Call queueEnqueue with opts as a string or availableAt as an object 3. Call queueNack with retryAt as a number or errorMessage as an object 4. The runtime previously called trim on some non-string values or silently converted bad optional fields to undefined at the IPC test seam",Extension queue and event optional fields should accept null as absent but reject non-string/non-object malformed values without throwing or touching DB/capability tracking,"Runtime queue normalization now validates optional meta and opts are objects when present, treats null optional fields as absent, rejects non-string idempotencyKey availableAt retryAt and errorMessage with invalid_args, and validates errorMessage before capability tracking. Added runtime tests for malformed meta opts retry and error fields plus null-as-absent behavior. IPC tests now assert malformed optional values pass through for runtime validation rather than being silently dropped.",none,n/a,"npx vitest run electron/extensions/runtime/queue.test.ts electron/ipc/workspace-handlers-extensions-events-publish.test.ts electron/ipc/workspace-handlers-extensions-queue-enqueue.test.ts electron/ipc/workspace-handlers-extensions-queue-nack.test.ts",Optional extension queue fields are untrusted at runtime even when TypeScript marks them optional; never call string methods before type validation.
BUG-0057,2026-05-27T00:52:00+02:00,fixed,high,extensions-runtime,queue-consume-limit,queueConsume accepted malformed opts.limit before SQLite claim calls,"1. Give an extension queue.consume 2. Call queueConsume(extensionId, topic, consumerId, {limit:'5'}) or {limit:NaN}/{limit:0}/{limit:101} 3. The runtime previously tracked queue.consume and passed the raw limit to claimQueueMessages where Math.min/Math.max could produce NaN or unexpected bound values before SQLite LIMIT binding",Queue consume limits should be optional but when present must be finite integer values in the supported range before capability tracking or database access,"queueConsume now validates opts as an object, treats null limit as absent, requires limit to be a finite integer from 1 to 100, and passes only the normalized limit to claimQueueMessages. Runtime tests prove malformed limits do not call getDb or track capabilities, while IPC tests keep malformed opts passing through for runtime validation. The extension API docs now state the limit contract.",none,n/a,"npx vitest run electron/extensions/runtime/queue.test.ts electron/ipc/workspace-handlers-extensions-queue-consume.test.ts",Validate queue claim controls at the runtime boundary; SQLite repo clamping is not a substitute for rejecting malformed extension API input.
BUG-0058,2026-05-27T01:10:00+02:00,fixed,medium,extensions-runtime,marketplace-search-limit,Extension marketplace search accepted malformed limit values before catalog loading,"1. Call extensionsCall('@chaton/caller','@chaton/extension-manager','extension.search_marketplace','^1.0.0',{limit:Infinity}) or {limit:0}/{limit:2.5} 2. The runtime previously accepted any numeric limit and called listChatonsExtensionCatalog 3. Array slice then silently returned empty/truncated results for invalid values instead of reporting bad extension API input",Marketplace search limits should be optional but explicit values must be finite integer values in a bounded range before catalog or installed-extension lookups,"extension.search_marketplace now rejects non-object payloads and malformed limits before loading the catalog, requires explicit limit values to be finite integers from 1 to 100, and keeps the default at 20. Runtime boundary tests prove invalid payloads and limits do not call catalog or installed-extension lookups, and a valid limit truncates results deterministically. The builtin extension manager docs and manifest parameter description now state the limit contract.",none,n/a,"npx vitest run electron/extensions/runtime-validation.test.ts",Builtin extension APIs need the same runtime-boundary validation as third-party extension APIs; never let invalid numeric controls silently shape marketplace results.
